KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,LI Xuan POSITION,LI Xuan LAP TIME,LI Xuan ELAPSED TIME
3,10.34,10.34,6,10.90,,5,10.68,10.68,4,10.46,10.46,1,10.24,10.24,2,10.31,10.31,7,11.08,11.08
3,13.85,24.19,5,13.43,,6,13.71,24.39,4,13.85,24.31,1,13.81,24.05,2,13.81,24.12,7,13.45,24.53
1,11.93,36.12,2,11.97,,3,11.95,36.34,6,12.30,36.61,5,12.43,36.48,7,12.54,36.66,4,11.84,36.37
2,10.90,47.02,3,10.96,,1,10.63,46.97,6,11.03,47.64,5,11.06,47.54,7,11.16,47.82,4,11.01,47.38
2,10.79,57.81,3,10.73,,1,10.70,57.67,6,10.68,58.32,5,10.68,58.22,7,10.65,58.47,4,10.70,58.08
2,10.95,1:08.76,4,10.94,,1,11.04,1:08.71,6,10.82,1:09.14,5,10.83,1:09.05,7,10.87,1:09.34,3,10.83,1:08.91
3,10.21,1:18.97,4,10.16,,2,10.15,1:18.86,6,10.16,1:19.30,5,10.18,1:19.23,7,10.12,1:19.46,1,9.81,1:18.72
4,10.33,1:29.30,3,10.20,,2,10.30,1:29.16,6,10.22,1:29.52,5,10.19,1:29.42,7,10.22,1:29.68,1,10.31,1:29.03
4,9.79,1:39.09,1,9.39,,3,9.79,1:38.95,5,9.66,1:39.18,6,9.78,1:39.20,7,9.68,1:39.36,2,9.79,1:38.82
6,19.48,1:58.57,1,9.62,,3,9.39,1:48.34,4,9.55,1:48.73,2,9.13,1:48.33,5,9.40,1:48.76,7,24.81,2:03.63
6,17.15,2:15.72,3,9.53,,2,9.25,1:57.59,5,9.79,1:58.52,1,9.15,1:57.48,4,9.37,1:58.13,7,18.94,2:22.57
6,12.61,2:28.33,3,9.35,,2,9.40,2:06.99,5,9.85,2:08.37,1,9.41,2:06.89,4,9.37,2:07.50,7,13.47,2:36.04
6,10.81,2:39.14,3,9.48,,2,9.56,2:16.55,5,10.23,2:18.60,1,9.56,2:16.45,4,9.75,2:17.25,7,11.87,2:47.91
6,11.22,2:50.36,3,9.86,,2,9.83,2:26.38,5,10.55,2:29.15,1,9.75,2:26.20,4,10.34,2:27.59,7,11.35,2:59.26
