Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME
1,13.854,13.854,2,14.260,14.260,0,,
1,10.363,24.217,2,10.351,24.611,3,,34.326
1,9.973,34.190,2,9.851,34.462,0,,
1,9.562,43.752,3,9.563,44.025,2,,43.960
1,9.278,53.030,3,9.217,53.242,2,9.259,53.219
3,9.364,1:02.394,1,8.959,1:02.201,2,9.135,1:02.354
3,9.547,1:11.941,1,9.173,1:11.374,2,9.080,1:11.434
3,9.775,1:21.716,1,9.096,1:20.469,2,9.128,1:20.563
3,10.129,1:31.844,2,9.342,1:29.812,1,9.199,1:29.762
