LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
1,6.71,6.71,2,6.80,6.80,3,6.90,6.90,4,7.00,7.00
1,8.91,15.62,2,8.90,15.70,3,9.00,15.90,4,8.97,15.97
1,8.48,24.10,2,8.51,24.21,3,8.42,24.32,4,8.44,24.41
1,8.41,32.51,2,8.42,32.63,3,8.40,32.72,4,8.41,32.82
3,26.15,58.658,2,10.42,43.041,1,8.86,41.579,0,,PEN
