Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,7.10,7.10,3,7.33,7.33,1,6.92,6.92,4,7.51,7.51
2,9.23,16.33,3,9.23,16.56,1,9.29,16.21,4,9.16,16.67
1,8.78,25.11,3,8.76,25.32,2,8.99,25.20,4,8.77,25.44
1,9.02,34.13,3,9.03,34.35,2,9.06,34.26,4,9.01,34.45
1,9.16,43.286,3,9.28,43.621,2,9.19,43.443,4,9.24,43.688
