Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Martin JOHANSSON POSITION,Martin JOHANSSON LAP TIME,Martin JOHANSSON ELAPSED TIME
2,8.317,8.317,1,8.131,8.131,3,8.482,8.482,5,8.684,8.684,7,8.888,8.888,6,8.867,8.867,4,8.485,8.485
3,12.046,20.362,2,11.971,20.102,4,11.991,20.472,6,12.056,20.740,1,11.109,19.997,7,11.989,20.856,5,12.187,20.671
3,10.842,31.203,2,10.905,31.006,6,10.955,31.426,7,10.789,31.529,1,10.955,30.952,4,10.500,31.355,5,10.697,31.368
2,10.308,41.511,1,10.486,41.492,4,10.255,41.680,7,10.613,42.142,3,10.600,41.552,5,10.425,41.779,6,10.459,41.827
3,10.297,51.807,2,10.262,51.753,5,10.357,52.037,6,10.078,52.220,1,10.124,51.675,4,10.181,51.959,7,10.433,52.259
3,10.515,1:02.322,1,10.356,1:02.109,6,10.444,1:02.481,7,10.492,1:02.712,5,10.748,1:02.423,2,10.342,1:02.300,4,10.128,1:02.387
4,10.437,1:12.758,1,10.333,1:12.442,5,10.280,1:12.760,7,10.257,1:12.968,6,10.432,1:12.855,2,10.267,1:12.567,3,10.351,1:12.738
3,10.295,1:23.052,1,10.279,1:22.720,4,10.347,1:23.107,7,10.603,1:23.571,6,10.502,1:23.356,2,10.328,1:22.894,5,10.566,1:23.303
3,9.832,1:32.884,1,9.885,1:32.605,5,9.833,1:32.940,7,9.758,1:33.329,6,9.818,1:33.173,2,9.910,1:32.803,4,9.631,1:32.934
4,10.049,1:42.932,1,10.049,1:42.653,3,9.901,1:42.840,7,9.879,1:43.207,6,9.997,1:43.170,2,10.007,1:42.809,5,10.033,1:42.966
3,9.769,1:52.701,2,9.814,1:52.467,4,9.940,1:52.780,5,9.695,1:52.901,7,9.990,1:53.159,1,9.621,1:52.430,6,10.176,1:53.142
3,9.795,2:02.496,2,9.787,2:02.254,6,10.051,2:02.830,5,9.735,2:02.635,7,9.765,2:02.923,1,9.755,2:02.185,4,9.400,2:02.542
3,9.626,2:12.121,2,9.709,2:11.963,7,23.003,2:25.833,4,9.642,2:12.277,6,9.699,2:12.622,1,9.756,2:11.941,5,9.787,2:12.329
0,,DQ,2,9.99,2:21.953,6,22.28,2:48.104,3,9.79,2:22.062,4,9.89,2:22.508,1,9.77,2:21.711,5,10.41,2:22.738
