Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
4,13.56,13.56,1,13.35,13.35,2,13.45,13.45,3,13.54,13.54
1,10.20,23.76,3,10.77,24.12,2,10.62,24.07,0,,
1,10.00,33.76,4,10.09,34.21,3,10.10,34.18,2,0.00,33.85
1,10.38,44.15,4,10.10,44.32,3,10.13,44.31,2,10.43,44.28
1,10.30,54.45,2,10.21,54.53,3,10.26,54.57,4,10.42,54.71
1,10.34,1:04.80,2,10.32,1:04.86,3,10.28,1:04.86,4,10.28,1:04.99
2,9.93,1:14.73,3,10.08,1:14.95,1,9.83,1:14.69,4,10.12,1:15.11
3,9.92,1:24.65,4,9.90,1:24.86,1,9.71,1:24.41,2,9.32,1:24.43
2,10.22,1:34.866,3,10.10,1:34.954,1,10.44,1:34.842,0,,DQ
