Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Dave VERSTEEG POSITION,Dave VERSTEEG LAP TIME,Dave VERSTEEG ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,8.327,8.327,2,8.499,8.499,3,8.598,8.598,4,8.714,8.714,5,8.716,8.716
1,12.277,20.604,2,12.187,20.685,3,12.370,20.968,4,12.272,20.986,5,12.402,21.118
1,11.860,32.464,2,11.918,32.603,3,11.806,32.773,4,11.970,32.956,5,11.858,32.975
1,11.573,44.036,2,11.618,44.221,3,11.696,44.469,5,11.622,44.577,4,11.513,44.488
1,10.680,54.715,2,10.517,54.738,4,10.369,54.838,5,10.523,55.100,3,10.311,54.798
2,9.870,1:04.585,3,9.923,1:04.660,4,10.074,1:04.912,5,9.886,1:04.985,1,9.684,1:04.482
2,10.029,1:14.613,3,10.082,1:14.742,4,10.057,1:14.968,5,10.024,1:15.008,1,10.030,1:14.512
2,10.351,1:24.964,3,10.279,1:25.020,4,10.176,1:25.143,5,10.264,1:25.272,1,10.432,1:24.943
1,10.203,1:35.166,2,10.321,1:35.341,3,10.334,1:35.476,4,10.342,1:35.613,5,10.740,1:35.683
1,10.257,1:45.423,2,10.221,1:45.562,3,10.203,1:45.679,4,10.153,1:45.766,5,10.536,1:46.218
3,10.268,1:55.690,1,9.869,1:55.431,4,10.164,1:55.842,2,9.849,1:55.614,5,10.867,1:57.085
3,9.796,2:05.485,2,10.019,2:05.450,4,9.824,2:05.666,1,9.361,2:04.975,5,11.337,2:08.422
3,10.449,2:15.934,2,9.986,2:15.435,5,23.915,2:29.580,1,9.635,2:14.609,4,11.706,2:20.127
3,10.74,2:26.668,2,10.52,2:25.950,5,19.89,2:49.468,1,10.64,2:25.240,4,12.30,2:32.427
