FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,LATVIA POSITION,LATVIA LAP TIME,LATVIA ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,AUSTRIA POSITION,AUSTRIA LAP TIME,AUSTRIA ELAPSED TIME
2,14.61,14.61,1,14.44,,4,14.90,14.90,3,14.71,14.71
2,10.15,24.76,1,10.21,,4,10.22,25.12,3,10.25,24.96
2,10.15,34.91,1,10.13,,4,9.95,35.07,3,10.01,34.97
2,10.02,44.93,1,10.02,,3,10.01,45.08,4,10.21,45.18
2,10.07,55.00,1,10.07,,3,10.02,55.10,4,10.09,55.27
2,10.08,1:05.08,1,10.12,,3,10.05,1:05.15,4,10.01,1:05.28
2,9.88,1:14.96,1,9.51,,3,9.99,1:15.14,4,9.95,1:15.23
2,9.51,1:24.47,1,9.86,,3,9.45,1:24.59,4,9.54,1:24.77
2,9.52,1:33.99,1,9.52,,3,9.43,1:34.02,4,9.38,1:34.15
2,9.61,1:43.60,1,9.62,,3,9.68,1:43.70,4,9.65,1:43.80
2,9.67,1:53.27,1,9.64,,3,9.70,1:53.40,4,9.71,1:53.51
2,9.83,2:03.10,1,9.81,,3,9.79,2:03.19,4,9.82,2:03.33
2,9.45,2:12.55,1,9.43,,3,9.51,2:12.70,4,9.47,2:12.80
2,9.24,2:21.79,1,9.32,,3,9.22,2:21.92,4,9.29,2:22.09
2,9.29,2:31.08,1,9.28,,3,9.24,2:31.16,4,9.21,2:31.30
2,9.41,2:40.49,1,9.40,,3,9.43,2:40.59,4,9.43,2:40.73
2,9.51,2:50.00,1,9.50,,3,9.52,2:50.11,4,9.51,2:50.24
2,9.70,2:59.70,1,9.74,,3,9.67,2:59.78,4,9.70,2:59.94
2,9.36,3:09.06,1,9.30,,3,9.47,3:09.25,4,9.40,3:09.34
2,9.19,3:18.25,1,9.24,,3,9.10,3:18.35,4,9.21,3:18.55
2,9.14,3:27.39,1,9.13,,3,9.10,3:27.45,4,9.08,3:27.63
2,9.30,3:36.69,1,9.33,,4,9.36,3:36.81,3,9.13,3:36.76
2,9.53,3:46.22,1,9.49,,3,9.51,3:46.32,4,9.66,3:46.42
2,9.64,3:55.86,1,9.67,,3,9.63,3:55.95,4,9.60,3:56.02
2,9.44,4:05.30,1,9.44,,3,9.47,4:05.42,4,9.50,4:05.52
2,9.30,4:14.60,1,9.24,,3,9.30,4:14.72,4,9.31,4:14.83
1,8.93,4:23.53,2,9.09,,3,8.95,4:23.67,4,9.01,4:23.84
1,8.68,4:32.21,3,9.26,,2,8.96,4:32.63,4,9.52,4:33.36
1,8.73,4:40.94,3,9.37,,2,8.82,4:41.45,4,9.53,4:42.89
1,8.76,4:49.70,3,9.59,,2,8.74,4:50.19,4,9.11,4:52.00
1,8.67,4:58.37,3,9.26,,2,8.68,4:58.87,4,9.23,5:01.23
1,8.54,5:06.91,3,9.04,,2,8.55,5:07.42,4,9.27,5:10.50
1,8.72,5:15.63,3,8.72,,2,8.45,5:15.87,4,8.93,5:19.43
1,8.72,5:24.35,3,9.12,,2,8.89,5:24.76,4,9.56,5:28.99
1,8.84,5:33.19,3,9.45,,2,8.94,5:33.70,4,9.63,5:38.62
1,8.91,5:42.10,3,9.69,,2,8.76,5:42.46,4,9.42,5:48.04
1,8.76,5:50.86,3,9.80,,2,8.65,5:51.11,4,9.38,5:57.42
1,8.69,5:59.55,3,9.36,,2,8.64,5:59.75,4,9.51,6:06.93
1,8.91,6:08.46,3,8.83,,2,8.74,6:08.49,4,9.43,6:16.36
1,8.85,6:17.31,3,9.52,,2,9.47,6:17.96,4,10.27,6:26.63
1,9.12,6:26.43,3,9.72,,2,9.36,6:27.32,4,10.82,6:37.45
1,9.14,6:35.57,3,10.00,,2,8.95,6:36.27,4,9.63,6:47.08
1,8.93,6:44.50,3,9.99,,2,9.04,6:45.31,4,9.52,6:56.60
1,9.26,6:53.76,3,8.84,,2,8.86,6:54.17,4,9.73,7:06.33
1,9.10,7:02.86,3,9.47,7:12.58,2,8.78,7:02.959,3,9.68,7:16.015
