Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Casey MULLARKEY POSITION,Casey MULLARKEY LAP TIME,Casey MULLARKEY ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Stanislav OMELCHENKO POSITION,Stanislav OMELCHENKO LAP TIME,Stanislav OMELCHENKO ELAPSED TIME
1,13.31,13.31,4,13.62,13.62,2,13.49,13.49,3,13.59,13.59,5,14.00,14.00
1,10.08,23.39,4,10.03,23.65,3,10.02,23.51,2,9.89,23.48,5,9.92,23.92
2,9.80,33.19,4,9.85,33.50,3,9.87,33.38,1,9.71,33.19,5,9.88,33.80
2,9.35,42.54,4,9.28,42.78,3,9.29,42.67,1,9.28,42.47,5,9.58,43.38
2,9.12,51.66,4,9.10,51.88,3,9.18,51.85,1,9.03,51.50,5,9.70,53.08
2,8.86,1:00.52,4,9.09,1:00.97,3,8.85,1:00.70,1,8.83,1:00.33,5,9.91,1:02.99
2,8.99,1:09.51,4,9.05,1:10.02,3,8.84,1:09.54,1,8.76,1:09.09,5,10.29,1:13.28
3,9.18,1:18.69,4,9.19,1:19.21,2,9.06,1:18.60,1,8.87,1:17.96,5,10.72,1:24.00
3,9.31,1:27.995,4,9.54,1:28.742,2,9.36,1:27.953,1,9.45,1:27.409,5,10.95,1:34.941
