Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Jakov DOLINIC POSITION,Jakov DOLINIC LAP TIME,Jakov DOLINIC ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Rafal PIORECKI POSITION,Rafal PIORECKI LAP TIME,Rafal PIORECKI ELAPSED TIME
2,13.397,13.397,1,13.221,13.221,3,13.950,13.950,4,14.043,14.043
1,9.970,23.367,2,10.277,23.498,4,10.261,24.210,3,9.554,23.597
1,9.884,33.251,2,9.814,33.312,4,10.364,34.574,3,9.955,33.552
1,10.214,43.465,2,10.186,43.498,4,10.600,45.174,3,9.951,43.503
2,10.297,53.762,1,10.256,53.754,4,10.768,55.942,3,10.566,54.069
2,9.974,1:03.736,3,10.435,1:04.190,4,11.678,1:07.619,1,9.601,1:03.670
1,9.697,1:13.433,3,10.842,1:15.031,4,11.449,1:19.068,2,10.012,1:13.682
1,9.733,1:23.166,3,11.007,1:26.038,4,11.984,1:31.053,2,9.563,1:23.245
1,10.186,1:33.351,3,11.014,1:37.052,4,12.321,1:43.373,2,10.209,1:33.453
