MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Luca LOEFFLER POSITION,Luca LOEFFLER LAP TIME,Luca LOEFFLER ELAPSED TIME
1,8.67,8.67,3,8.81,8.81,5,8.94,8.94,6,9.01,9.01,4,8.84,8.84,2,8.76,8.76
2,12.38,21.05,5,12.41,21.22,6,12.38,21.32,3,12.09,21.10,4,12.30,21.14,1,12.18,20.94
3,11.60,32.65,6,11.67,32.89,5,11.50,32.82,1,11.32,32.42,4,11.61,32.75,2,11.61,32.55
4,10.66,43.31,6,10.83,43.72,1,10.21,43.03,3,10.85,43.27,5,10.78,43.53,2,10.62,43.17
1,9.99,53.30,6,10.25,53.97,2,10.39,53.42,4,10.46,53.73,5,10.31,53.84,3,10.46,53.63
1,9.94,1:03.24,5,9.70,1:03.67,2,9.92,1:03.34,4,9.80,1:03.53,6,9.84,1:03.68,3,9.81,1:03.44
1,9.91,1:13.15,5,9.90,1:13.57,2,9.90,1:13.24,4,9.90,1:13.43,6,9.99,1:13.67,3,9.89,1:13.33
1,10.07,1:23.22,5,10.10,1:23.67,2,10.09,1:23.33,4,10.12,1:23.55,6,10.10,1:23.77,3,10.07,1:23.40
1,10.30,1:33.52,5,10.22,1:33.89,2,10.31,1:33.64,4,10.27,1:33.82,6,10.26,1:34.03,3,10.36,1:33.76
1,10.12,1:43.64,4,10.12,1:44.01,2,10.10,1:43.74,5,10.35,1:44.17,6,10.25,1:44.28,3,10.11,1:43.87
1,10.01,1:53.65,3,9.84,1:53.85,2,10.03,1:53.77,6,10.04,1:54.21,4,9.70,1:53.98,5,10.24,1:54.11
1,9.85,2:03.50,2,9.75,2:03.60,3,9.86,2:03.63,6,10.08,2:04.29,4,9.86,2:03.84,5,10.02,2:04.13
1,9.69,2:13.19,2,9.72,2:13.32,3,9.87,2:13.50,6,10.73,2:15.02,4,9.79,2:13.63,5,10.00,2:14.13
1,9.80,2:22.971,3,,2:23.269,4,9.99,2:23.476,6,11.58,2:26.572,2,,2:23.251,5,10.59,2:24.697
