GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,LIU Yifan POSITION,LIU Yifan LAP TIME,LIU Yifan ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,13.08,13.08,3,13.23,13.23,5,13.45,,2,13.18,13.18,4,13.32,13.32
4,9.56,22.64,1,9.22,22.45,5,9.35,,2,9.34,22.52,3,9.25,22.57
4,9.72,32.36,1,9.67,32.12,5,9.69,,2,9.69,32.21,3,9.69,32.26
4,9.32,41.68,2,9.38,41.50,5,9.30,,3,9.38,41.59,1,9.13,41.39
4,9.37,51.05,3,9.54,51.04,5,9.45,,2,9.39,50.98,1,9.50,50.89
5,9.39,1:00.44,3,9.13,1:00.17,4,9.03,,2,9.16,1:00.14,1,9.17,1:00.06
5,9.06,1:09.50,3,9.14,1:09.31,4,9.10,,2,8.97,1:09.11,1,9.02,1:09.08
4,9.16,1:18.66,5,9.86,1:19.17,3,9.18,,1,8.83,1:17.94,2,8.99,1:18.07
3,9.17,1:27.837,4,10.25,1:29.426,3,9.20,,1,8.89,1:26.83,2,8.96,1:27.036
