ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,Renata SZOCS POSITION,Renata SZOCS LAP TIME,Renata SZOCS ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Nicole MARTINELLI POSITION,Nicole MARTINELLI LAP TIME,Nicole MARTINELLI ELAPSED TIME,Cecilia BACKSTROM POSITION,Cecilia BACKSTROM LAP TIME,Cecilia BACKSTROM ELAPSED TIME
2,9.78,9.78,1,9.74,9.74,3,9.90,9.90,5,10.73,10.73,4,10.48,10.48
2,15.30,25.08,1,15.27,25.01,4,15.77,25.67,5,15.32,26.05,3,14.94,25.42
1,14.42,39.50,2,14.50,39.51,5,14.22,39.89,3,13.63,39.68,4,14.36,39.78
2,13.60,53.10,4,13.67,53.18,1,13.09,52.98,3,13.48,53.16,5,13.60,53.38
3,13.43,1:06.53,4,13.35,1:06.53,1,13.34,1:06.32,5,13.49,1:06.65,2,13.07,1:06.45
3,13.33,1:19.86,1,13.24,1:19.77,4,13.62,1:19.94,2,13.16,1:19.81,5,13.54,1:19.99
2,12.38,1:32.24,1,12.43,1:32.20,4,12.66,1:32.60,3,12.53,1:32.34,5,12.93,1:32.92
4,12.07,1:44.31,1,11.25,1:43.45,3,11.24,1:43.84,2,11.42,1:43.76,5,11.54,1:44.46
4,9.93,1:54.24,1,10.26,1:53.71,2,10.28,1:54.12,3,10.43,1:54.19,5,11.57,1:56.03
4,10.70,2:04.94,2,10.64,2:04.35,3,10.24,2:04.36,1,10.06,2:04.25,5,11.87,2:07.90
4,10.48,2:15.42,2,10.41,2:14.76,1,10.26,2:14.62,3,10.85,2:15.10,5,11.79,2:19.69
4,10.89,2:26.31,2,10.42,2:25.18,1,10.39,2:25.01,3,10.65,2:25.75,5,12.40,2:32.09
4,11.41,2:37.72,2,10.83,2:36.01,1,10.12,2:35.13,3,10.47,2:36.22,5,12.60,2:44.69
4,11.86,2:49.574,3,10.94,2:46.943,1,10.16,2:45.282,2,10.65,2:46.867,5,13.32,2:58.010
