Balazs KNOCH POSITION,Balazs KNOCH LAP TIME,Balazs KNOCH ELAPSED TIME,Nikolay FEDORENKO POSITION,Nikolay FEDORENKO LAP TIME,Nikolay FEDORENKO ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME
1,6.927,6.927,4,7.341,7.341,3,7.135,7.135,2,7.009,7.009
2,9.565,16.492,4,9.830,17.171,1,9.324,16.459,3,9.589,16.597
2,9.214,25.706,4,9.497,26.667,1,9.023,25.482,3,9.179,25.776
3,9.231,34.937,4,9.448,36.115,1,9.098,34.580,2,9.079,34.854
3,10.10,45.034,4,9.82,45.933,2,10.02,44.592,1,9.70,44.549
