KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
3,7.83,7.83,1,7.39,7.39,2,7.51,7.51
3,9.73,17.56,1,9.90,17.29,2,9.82,17.33
2,9.44,27.00,1,9.61,26.90,3,9.71,27.04
2,10.38,37.38,1,9.84,36.74,3,21.76,48.80
2,28.44,1:05.818,1,10.08,46.818,0,,PEN
