Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
2,13.62,13.62,4,13.86,13.86,3,13.69,13.69,1,13.55,13.55
3,11.96,25.58,4,11.89,25.75,2,11.89,25.58,1,11.93,25.48
3,10.76,36.34,4,10.74,36.49,1,10.49,36.07,2,10.77,36.25
2,10.18,46.52,4,10.26,46.75,1,10.33,46.40,3,10.38,46.63
2,9.98,56.50,4,9.96,56.71,1,10.01,56.41,3,9.97,56.60
2,9.92,1:06.42,4,9.95,1:06.66,1,9.90,1:06.31,3,9.94,1:06.54
2,10.01,1:16.43,4,10.09,1:16.75,1,10.00,1:16.31,3,10.08,1:16.62
2,10.17,1:26.60,3,9.96,1:26.71,1,10.19,1:26.50,4,10.40,1:27.02
3,10.44,1:37.036,2,10.26,1:36.963,1,10.45,1:36.948,4,11.32,1:38.335
