Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Ronald CALDECUTT POSITION,Ronald CALDECUTT LAP TIME,Ronald CALDECUTT ELAPSED TIME
2,14.18,14.18,1,14.06,14.06,3,14.27,14.27,4,14.40,14.40
2,11.00,25.18,1,11.03,25.09,3,10.99,25.26,4,10.96,25.36
2,11.40,36.58,1,11.41,36.50,3,11.37,36.63,4,11.39,36.75
2,11.06,47.64,1,11.13,47.63,3,11.14,47.77,4,11.15,47.90
1,10.38,58.02,2,10.41,58.04,3,10.37,58.14,4,10.35,58.25
1,9.83,1:07.85,3,10.02,1:08.06,2,9.80,1:07.94,4,9.94,1:08.19
1,9.54,1:17.39,3,9.66,1:17.72,2,9.57,1:17.51,4,9.68,1:17.87
2,9.35,1:26.74,3,9.79,1:27.51,1,9.21,1:26.72,4,9.76,1:27.63
2,9.20,1:35.938,4,10.38,1:37.888,1,9.09,1:35.804,3,9.81,1:37.434
