Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME
1,13.79,13.79,2,13.86,13.86,3,13.95,13.95
1,10.26,24.05,2,10.26,24.12,3,10.27,24.23
2,10.11,34.16,3,10.14,34.27,1,9.86,34.10
2,9.83,43.99,3,9.84,44.11,1,9.83,43.94
1,9.51,53.51,2,9.52,53.64,3,9.76,53.70
1,9.63,1:03.14,2,9.54,1:03.18,3,9.71,1:03.41
2,9.53,1:12.68,1,9.38,1:12.57,3,9.72,1:13.14
1,9.69,1:22.37,2,9.87,1:22.44,3,10.07,1:23.22
1,9.91,1:32.279,2,9.95,1:32.381,3,10.75,1:33.965
