NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
3,13.29,13.29,1,13.00,13.00,2,13.17,13.17,4,13.35,13.35
4,10.32,23.61,1,10.36,23.36,2,10.23,23.40,3,10.19,23.54
4,9.56,33.17,1,9.52,32.88,2,9.56,32.96,3,9.48,33.02
4,9.42,42.59,1,9.42,42.30,2,9.48,42.44,3,9.56,42.58
4,9.42,52.01,1,9.45,51.75,2,9.42,51.86,3,9.40,51.98
2,9.00,1:01.01,1,9.20,1:00.95,3,9.25,1:01.11,4,9.13,1:01.11
1,8.77,1:09.78,2,9.09,1:10.04,4,9.16,1:10.27,3,9.04,1:10.15
1,9.02,1:18.80,2,9.24,1:19.28,4,9.19,1:19.46,3,9.23,1:19.38
1,9.37,1:28.170,2,9.47,1:28.741,3,9.37,1:28.824,4,9.54,1:28.918
