HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
2,12.46,12.46,3,12.55,12.55,4,12.56,12.56,1,12.42,12.42
2,9.55,22.01,3,9.57,22.12,4,9.65,22.21,1,9.52,21.94
2,9.43,31.44,3,9.48,31.60,4,9.48,31.69,1,9.48,31.42
1,9.05,40.49,3,9.08,40.68,4,9.08,40.77,2,9.16,40.58
1,9.03,49.52,3,9.02,49.70,4,9.03,49.80,2,9.02,49.60
1,8.97,58.49,3,8.96,58.66,4,8.97,58.77,2,8.97,58.57
1,8.88,1:07.37,3,8.92,1:07.58,4,8.92,1:07.69,2,8.89,1:07.46
1,8.96,1:16.33,2,8.91,1:16.49,4,9.06,1:16.75,3,9.03,1:16.49
1,9.21,1:25.537,2,9.18,1:25.669,4,9.31,1:26.053,3,9.42,1:25.904
