Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,13.12,13.12,4,13.47,13.47,3,13.31,13.31,5,13.59,13.59,2,13.27,13.27
1,10.39,23.51,5,10.42,23.89,3,10.35,23.66,4,10.17,23.76,2,10.31,23.58
3,10.24,33.75,5,10.11,34.00,2,10.01,33.67,4,10.11,33.87,1,9.97,33.55
2,9.96,43.71,5,9.97,43.97,3,10.10,43.77,4,9.99,43.86,1,10.10,43.65
3,9.63,53.34,5,9.62,53.59,1,9.31,53.08,4,9.59,53.45,2,9.54,53.19
3,9.12,1:02.46,5,9.09,1:02.68,1,9.10,1:02.18,4,9.11,1:02.56,2,9.16,1:02.35
3,9.02,1:11.48,5,8.98,1:11.66,1,9.05,1:11.23,4,8.99,1:11.55,2,8.97,1:11.32
4,8.94,1:20.42,5,8.98,1:20.64,1,9.01,1:20.24,2,8.72,1:20.27,3,9.09,1:20.41
3,9.18,1:29.597,4,9.03,1:29.668,1,9.07,1:29.307,2,9.10,1:29.370,5,9.43,1:29.835
