Tomasz WROBLEWSKI POSITION,Tomasz WROBLEWSKI LAP TIME,Tomasz WROBLEWSKI ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,GAO Ming POSITION,GAO Ming LAP TIME,GAO Ming ELAPSED TIME,Vitaly MIKHEENKOV POSITION,Vitaly MIKHEENKOV LAP TIME,Vitaly MIKHEENKOV ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
2,6.620,6.620,3,6.790,6.790,4,7.780,7.780,1,6.520,6.520
1,9.090,15.710,2,9.170,15.970,4,10.080,17.870,3,9.660,16.180
1,8.970,24.680,2,8.900,24.870,4,8.440,26.320,3,8.850,25.040
1,9.130,33.820,2,9.030,33.900,4,8.990,35.310,3,8.930,33.980
2,9.480,43.310,1,9.250,43.150,4,9.000,44.320,3,9.840,43.820
