Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
3,12.95,12.95,1,12.84,12.84,4,23.61,23.61,2,12.86,12.86
1,10.36,23.31,2,10.47,23.32,0,,,3,10.59,23.46
1,10.46,33.77,2,10.45,33.78,4,0.00,33.95,3,10.35,33.81
2,9.58,43.36,4,9.71,43.49,1,9.37,43.32,3,9.57,43.38
1,9.27,52.63,4,9.50,52.99,2,9.39,52.72,3,9.37,52.75
2,9.61,1:02.25,4,9.45,1:02.45,1,9.50,1:02.23,3,9.56,1:02.32
2,9.35,1:11.60,4,9.44,1:11.89,1,9.34,1:11.57,3,9.34,1:11.67
1,9.26,1:20.86,4,9.33,1:21.23,2,9.38,1:20.96,3,9.47,1:21.14
2,9.62,1:30.475,4,9.50,1:30.731,1,9.40,1:30.360,3,9.58,1:30.711
