SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
3,7.00,7.00,1,6.68,6.68,2,6.79,6.79,4,7.08,
3,8.63,15.63,2,8.84,15.52,1,8.62,15.41,4,8.80,
3,8.14,23.77,2,8.16,23.68,1,8.16,23.57,4,8.02,
4,8.41,32.18,2,8.26,31.94,1,8.23,31.80,3,8.13,
2,8.40,40.58,4,8.80,40.74,1,8.49,40.29,3,8.69,
