Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME
2,6.85,6.85,1,6.60,6.60,4,7.20,7.20,3,6.97,6.97
2,8.98,15.83,1,9.13,15.73,4,8.99,16.19,3,9.01,15.98
1,8.45,24.28,2,8.71,24.44,4,8.40,24.59,3,8.47,24.45
1,8.62,32.90,4,9.33,33.77,2,8.37,32.96,3,8.95,33.40
1,8.90,41.799,4,9.34,43.107,2,9.05,42.004,3,9.22,42.619
