Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
1,8.04,8.04,4,8.39,8.39,6,8.54,8.54,3,8.21,8.21,2,8.07,8.07,5,8.41,8.41
2,11.90,19.94,4,11.68,20.08,6,11.75,20.30,1,11.49,19.71,3,11.90,19.97,5,11.78,20.20
2,10.38,30.32,5,10.66,30.74,1,9.99,30.29,3,10.79,30.51,4,10.61,30.59,6,10.63,30.83
2,10.32,40.65,5,10.25,41.00,1,10.30,40.59,3,10.19,40.71,4,10.26,40.85,6,10.26,41.09
2,10.30,50.95,5,10.30,51.31,1,10.32,50.92,3,10.37,51.08,4,10.32,51.18,6,10.30,51.39
3,10.42,1:01.37,5,10.32,1:01.63,2,10.44,1:01.36,1,10.09,1:01.18,4,10.33,1:01.51,6,10.36,1:01.76
1,9.81,1:11.19,5,10.07,1:11.71,3,10.22,1:11.58,2,10.23,1:11.41,4,10.12,1:11.63,6,10.06,1:11.82
1,9.91,1:21.11,4,9.71,1:21.42,3,9.81,1:21.40,2,9.84,1:21.26,5,9.89,1:21.52,6,9.73,1:21.55
1,9.64,1:30.75,5,9.87,1:31.29,3,9.62,1:31.02,2,9.55,1:30.81,4,9.66,1:31.18,6,9.79,1:31.34
1,9.66,1:40.42,6,9.85,1:41.15,4,9.70,1:40.72,2,9.65,1:40.46,3,9.51,1:40.69,5,9.63,1:40.98
1,9.59,1:50.01,6,9.72,1:50.87,4,9.64,1:50.36,2,9.57,1:50.04,3,9.41,1:50.11,5,9.57,1:50.55
1,9.56,1:59.57,6,9.92,2:00.79,4,9.78,2:00.15,2,9.80,1:59.85,3,9.85,1:59.96,5,9.73,2:00.29
1,9.56,2:09.14,6,10.53,2:11.33,4,9.57,2:09.72,2,9.52,2:09.37,3,9.45,2:09.41,5,9.93,2:10.22
1,9.83,2:18.969,5,11.43,2:22.751,3,9.55,2:19.268,0,,DQ,2,9.63,2:19.034,4,10.62,2:20.838
