Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,13.41,13.41,3,13.64,13.64,2,13.54,13.54,4,13.75,13.75
1,10.16,23.57,3,10.13,23.77,2,10.04,23.58,4,10.14,23.89
2,9.56,33.13,3,9.48,33.25,1,9.45,33.03,4,9.41,33.30
3,9.45,42.58,4,9.44,42.69,1,9.46,42.49,2,9.28,42.58
2,9.43,52.01,4,9.50,52.19,1,9.45,51.94,3,9.49,52.07
3,9.26,1:01.27,4,9.28,1:01.47,1,9.25,1:01.19,2,9.18,1:01.25
3,9.04,1:10.31,4,9.01,1:10.48,2,9.02,1:10.21,1,8.80,1:10.05
3,8.76,1:19.07,4,8.75,1:19.23,2,8.70,1:18.91,1,8.75,1:18.80
4,43.38,2:02.450,3,9.74,1:28.966,2,8.85,1:27.752,1,8.91,1:27.702
