Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,KIM Dam Min POSITION,KIM Dam Min LAP TIME,KIM Dam Min ELAPSED TIME,Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME
1,9.44,9.44,2,9.60,9.60,3,9.79,9.79,4,9.92,9.92,5,10.02,10.02
1,13.13,22.57,2,13.09,22.69,3,13.01,22.80,4,13.00,22.92,5,12.97,22.99
2,12.01,34.58,3,12.03,34.72,4,11.99,34.79,1,11.64,34.56,5,11.97,34.96
2,10.56,45.14,4,10.67,45.39,3,10.47,45.26,1,10.49,45.05,5,10.55,45.51
3,10.64,55.78,1,10.09,55.48,4,10.65,55.91,2,10.63,55.68,5,10.51,56.02
4,10.66,1:06.44,1,10.67,1:06.15,3,10.43,1:06.34,2,10.57,1:06.25,5,10.51,1:06.53
4,10.58,1:17.02,1,10.59,1:16.74,2,10.50,1:16.84,3,10.61,1:16.86,5,10.62,1:17.15
4,10.26,1:27.28,1,10.24,1:26.98,2,10.24,1:27.08,3,10.29,1:27.15,5,10.23,1:27.38
4,10.25,1:37.53,1,10.24,1:37.22,2,10.27,1:37.35,3,10.31,1:37.46,5,10.25,1:37.63
4,10.14,1:47.67,1,10.12,1:47.34,2,10.13,1:47.48,3,10.12,1:47.58,5,10.15,1:47.78
4,9.88,1:57.55,1,9.89,1:57.23,2,9.96,1:57.44,3,9.89,1:57.47,5,10.07,1:57.85
4,10.00,2:07.55,1,9.86,2:07.09,3,10.09,2:07.53,2,9.73,2:07.20,5,10.40,2:08.25
3,10.25,2:17.80,1,10.07,2:17.16,4,10.65,2:18.18,2,10.09,2:17.29,5,10.83,2:19.08
3,10.22,2:28.015,1,10.28,2:27.438,4,11.19,2:29.367,2,10.33,2:27.616,5,11.35,2:30.430
