Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,6.702,6.702,2,6.810,6.810,3,7.149,7.149,4,7.178,7.178
1,9.330,16.031,2,9.419,16.229,3,9.114,16.263,4,9.336,16.514
1,9.102,25.133,2,9.149,25.378,3,9.163,25.426,4,8.970,25.483
1,9.297,34.429,3,9.379,34.757,2,9.098,34.523,4,16.972,42.455
2,9.99,44.412,3,9.85,44.607,1,9.77,44.293,4,21.58,1:04.027
