KO Gi-Hyun POSITION,KO Gi-Hyun LAP TIME,KO Gi-Hyun ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME
6,11.106,11.106,5,11.080,11.080,4,10.822,10.822,3,10.686,10.686,1,10.287,10.287,2,10.406,10.406
6,14.092,25.198,5,14.071,25.150,4,14.058,24.879,3,13.947,24.632,1,14.114,24.401,2,14.215,24.620
6,13.205,38.402,5,13.218,38.368,4,13.136,38.015,2,13.072,37.703,1,13.116,37.516,3,13.202,37.821
5,12.124,50.526,6,12.349,50.716,4,12.476,50.491,3,12.600,50.303,1,12.550,50.066,2,12.478,50.299
4,11.914,1:02.439,6,11.998,1:02.713,5,12.044,1:02.534,3,12.075,1:02.378,1,12.046,1:02.111,2,11.994,1:02.292
4,10.837,1:13.276,6,10.811,1:13.523,5,10.805,1:13.339,3,10.847,1:13.224,1,10.881,1:12.991,2,10.845,1:13.137
4,10.604,1:23.879,6,10.614,1:24.137,5,10.542,1:23.880,2,10.577,1:23.801,1,10.723,1:23.713,3,10.706,1:23.843
6,10.030,1:33.908,5,9.659,1:33.796,3,9.676,1:33.556,4,9.873,1:33.673,1,9.731,1:33.444,2,9.623,1:33.466
6,9.683,1:43.590,4,9.632,1:43.427,1,9.602,1:43.157,3,9.725,1:43.398,2,9.865,1:43.308,5,10.041,1:43.507
4,9.682,1:53.272,3,9.750,1:53.177,1,9.835,1:52.991,5,9.886,1:53.283,6,10.036,1:53.344,2,9.670,1:53.176
1,9.710,2:02.981,5,10.092,2:03.269,2,10.021,2:03.012,3,9.947,2:03.229,6,10.031,2:03.374,4,10.089,2:03.265
1,9.690,2:12.670,3,9.720,2:12.989,2,9.904,2:12.916,4,9.890,2:13.119,6,10.306,2:13.680,5,9.899,2:13.163
1,9.886,2:22.556,3,9.744,2:22.732,2,9.809,2:22.725,5,9.864,2:22.983,6,10.890,2:24.570,4,9.732,2:22.894
1,10.01,2:32.559,2,9.94,2:32.668,4,11.20,2:33.919,3,10.32,2:33.302,0,,DQ,0,,DQ
