Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,12.320,12.320,3,12.630,12.630,2,12.350,12.350,4,12.710,12.710
1,9.670,22.000,4,9.690,22.320,2,9.690,22.040,3,9.560,22.270
3,9.740,31.740,1,9.310,31.630,2,9.670,31.720,4,9.630,31.900
2,9.700,41.440,4,9.970,41.600,1,9.570,41.300,3,9.660,41.570
1,9.100,50.550,4,9.250,50.860,2,9.350,50.650,3,9.250,50.820
1,9.190,59.740,3,9.190,1:00.050,2,9.160,59.820,4,9.230,1:00.060
2,9.090,1:08.840,3,8.800,1:08.860,1,8.770,1:08.590,4,8.950,1:09.010
3,8.780,1:17.620,2,8.740,1:17.610,1,8.740,1:17.340,4,8.790,1:17.810
4,9.180,1:26.810,3,8.900,1:26.510,1,8.980,1:26.320,2,8.660,1:26.470
