Namasthee HARRIS-GAUTHIER POSITION,Namasthee HARRIS-GAUTHIER LAP TIME,Namasthee HARRIS-GAUTHIER ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Yuna KOIKE POSITION,Yuna KOIKE LAP TIME,Yuna KOIKE ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,14.71,14.71,3,14.86,14.86,4,14.91,14.91,1,14.58,14.58
1,10.59,25.30,4,10.72,25.58,3,10.59,25.50,2,10.81,25.39
1,10.08,35.38,4,10.16,35.74,3,10.12,35.62,2,10.10,35.49
1,9.95,45.33,4,9.88,45.62,3,9.91,45.53,2,9.95,45.44
2,9.81,55.14,4,9.75,55.37,3,9.71,55.24,1,9.60,55.04
2,9.85,1:04.99,4,9.86,1:05.23,3,9.84,1:05.08,1,9.88,1:04.92
1,9.80,1:14.79,4,9.91,1:15.14,3,9.95,1:15.03,2,9.94,1:14.86
1,9.58,1:24.37,4,9.76,1:24.90,3,9.83,1:24.86,2,9.88,1:24.74
1,9.82,1:34.188,4,10.89,1:35.787,3,10.56,1:35.418,2,10.26,1:35.000
