SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Kota AKIMOTO POSITION,Kota AKIMOTO LAP TIME,Kota AKIMOTO ELAPSED TIME
4,19.35,19.35,3,19.16,19.16,5,19.49,19.49,1,18.80,18.80,7,19.74,19.74,6,19.63,19.63,9,20.31,20.31,8,20.12,20.12,2,18.99,18.99
5,14.73,34.08,4,14.76,33.92,6,14.75,34.24,2,14.98,33.78,1,13.97,33.71,7,14.69,34.32,9,14.34,34.65,8,14.36,34.48,3,14.91,33.90
2,10.22,44.30,6,11.05,44.97,7,10.76,45.00,4,11.02,44.80,1,9.19,42.90,3,10.28,44.60,9,10.74,45.39,8,10.78,45.26,5,10.99,44.89
2,9.09,53.39,7,9.84,54.81,6,9.69,54.69,4,9.58,54.38,1,9.30,52.20,3,9.05,53.65,9,9.79,55.18,8,9.78,55.04,5,9.68,54.57
2,9.15,1:02.54,6,9.47,1:04.28,9,21.04,1:15.73,4,9.68,1:04.06,1,10.19,1:02.39,3,9.16,1:02.81,8,9.52,1:04.70,7,9.48,1:04.52,5,9.63,1:04.20
1,8.86,1:11.40,6,9.94,1:14.22,9,11.42,1:27.15,4,9.99,1:14.05,3,10.03,1:12.42,2,9.60,1:12.41,8,9.81,1:14.51,7,9.85,1:14.37,5,9.94,1:14.14
1,8.94,1:20.34,6,10.12,1:24.34,9,10.51,1:37.66,4,10.11,1:24.16,3,9.64,1:22.06,2,9.44,1:21.85,8,10.08,1:24.59,7,10.10,1:24.47,5,10.12,1:24.26
1,9.14,1:29.48,6,10.31,1:34.65,9,11.13,1:48.79,4,10.26,1:34.42,3,9.66,1:31.72,2,9.69,1:31.54,8,10.37,1:34.96,7,10.31,1:34.78,5,10.30,1:34.56
1,9.29,1:38.77,6,10.55,1:45.20,9,10.92,1:59.71,4,10.56,1:44.98,3,9.96,1:41.68,2,10.05,1:41.59,8,10.49,1:45.45,7,10.55,1:45.33,5,10.54,1:45.10
1,9.41,1:48.18,6,10.82,1:56.02,9,10.73,2:10.44,4,10.80,1:55.78,3,10.35,1:52.03,2,10.28,1:51.87,8,10.84,1:56.29,7,10.83,1:56.16,5,10.85,1:55.95
1,9.64,1:57.82,5,10.78,2:06.80,8,11.41,2:21.85,3,10.79,2:06.57,2,10.74,2:02.77,9,34.45,2:26.32,7,10.82,2:07.11,6,10.79,2:06.95,4,10.76,2:06.71
1,9.91,2:07.73,5,11.07,2:17.87,8,11.85,2:33.70,3,11.05,2:17.62,2,11.17,2:13.94,9,18.67,2:44.99,7,11.14,2:18.25,6,11.18,2:18.13,4,11.07,2:17.78
1,10.66,2:18.39,5,11.44,2:29.31,8,11.72,2:45.42,3,11.48,2:29.10,2,11.03,2:24.97,9,12.54,2:57.53,7,11.27,2:29.52,6,11.30,2:29.43,4,11.45,2:29.23
1,11.33,2:29.72,5,11.39,2:40.70,8,11.89,2:57.31,3,11.37,2:40.47,2,11.24,2:36.21,9,11.41,3:08.94,7,11.47,2:40.99,6,11.39,2:40.82,4,11.38,2:40.61
1,11.40,2:41.12,5,11.26,2:51.96,8,12.03,3:09.34,3,11.25,2:51.72,2,11.23,2:47.44,9,11.44,3:20.38,7,11.28,2:52.27,6,11.31,2:52.13,4,11.25,2:51.86
1,11.30,2:52.42,5,11.17,3:03.13,8,11.12,3:20.46,3,11.18,3:02.90,2,11.30,2:58.74,9,11.29,3:31.67,7,11.12,3:03.39,6,11.12,3:03.25,4,11.19,3:03.05
1,11.09,3:03.51,5,11.15,3:14.28,8,11.65,3:32.11,3,11.11,3:14.01,2,11.51,3:10.25,9,11.27,3:42.94,7,11.17,3:14.56,6,11.16,3:14.41,4,11.14,3:14.19
1,11.19,3:14.70,5,11.03,3:25.31,8,11.27,3:43.38,3,11.02,3:25.03,2,11.62,3:21.87,9,11.80,3:54.74,7,10.97,3:25.53,6,11.02,3:25.43,4,11.03,3:25.22
1,10.96,3:25.66,5,10.70,3:36.01,8,11.52,3:54.90,3,10.75,3:35.78,2,11.79,3:33.66,9,12.34,4:07.08,6,10.60,3:36.13,7,10.73,3:36.16,4,10.72,3:35.94
1,10.75,3:36.41,5,10.00,3:46.01,8,12.05,4:06.95,4,9.88,3:45.66,2,11.85,3:45.51,9,10.91,4:17.99,3,9.39,3:45.52,7,9.98,3:46.14,6,10.16,3:46.10
1,9.97,3:46.38,4,9.62,3:55.63,8,11.26,4:18.21,3,9.68,3:55.34,7,11.84,3:57.35,9,11.02,4:29.01,2,9.75,3:55.27,5,9.58,3:55.72,6,10.49,3:56.59
1,9.70,3:56.08,4,10.11,4:05.74,8,10.98,4:29.19,3,10.30,4:05.64,7,12.14,4:09.49,9,11.51,4:40.52,2,10.25,4:05.52,5,10.16,4:05.88,6,11.08,4:07.67
1,10.17,4:06.25,4,10.25,4:15.99,8,11.07,4:40.26,3,10.22,4:15.86,7,12.66,4:22.15,9,12.14,4:52.66,2,10.27,4:15.79,5,10.23,4:16.11,6,12.13,4:19.80
1,10.19,4:16.44,5,9.95,4:25.94,8,11.31,4:51.57,4,9.80,4:25.66,7,13.33,4:35.48,9,12.75,5:05.41,2,9.79,4:25.58,3,9.54,4:25.65,6,12.51,4:32.31
1,10.02,4:26.46,5,9.91,4:35.85,8,11.93,5:03.50,3,9.63,4:35.29,7,12.71,4:48.19,9,12.91,5:18.32,2,9.64,4:35.22,4,9.75,4:35.40,6,12.44,4:44.75
1,10.36,4:36.82,5,10.23,4:46.08,8,12.05,5:15.55,2,9.68,4:44.97,7,12.44,5:00.63,9,14.65,5:32.97,3,9.88,4:45.10,4,9.82,4:45.22,6,12.24,4:56.99
1,11.17,4:47.986,5,10.86,4:56.934,8,12.56,5:28.110,3,10.75,4:55.716,7,13.09,5:13.719,9,12.69,5:45.656,4,10.97,4:56.068,2,10.22,4:55.440,6,12.60,5:09.586
