SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,Assel TAISHMANOVA POSITION,Assel TAISHMANOVA LAP TIME,Assel TAISHMANOVA ELAPSED TIME
2,12.99,12.99,3,13.13,13.13,1,12.86,12.86,4,13.28,13.28,5,13.45,13.45
2,9.78,22.77,3,9.75,22.88,1,9.81,22.67,4,9.76,23.04,5,9.71,23.16
1,9.43,32.20,3,9.49,32.37,2,9.61,32.28,4,9.42,32.46,5,9.42,32.58
1,9.39,41.59,5,9.81,42.18,2,9.42,41.70,3,9.45,41.91,4,9.41,41.99
1,9.25,50.84,5,9.40,51.58,2,9.24,50.94,3,9.28,51.19,4,9.44,51.43
1,9.18,1:00.02,5,9.45,1:01.03,2,9.20,1:00.14,3,9.12,1:00.31,4,9.54,1:00.97
1,9.24,1:09.26,4,9.57,1:10.60,2,9.23,1:09.37,3,9.22,1:09.53,5,9.99,1:10.96
1,9.32,1:18.58,4,9.82,1:20.42,2,9.34,1:18.71,3,9.38,1:18.91,5,10.75,1:21.71
1,9.56,1:28.14,4,10.15,1:30.574,2,9.59,1:28.30,3,9.55,1:28.46,5,12.04,1:33.759
