SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME
2,13.803,13.803,1,13.761,13.761,3,14.023,14.023,4,14.048,14.048,5,14.192,14.192
2,10.309,24.111,3,10.479,24.240,4,10.339,24.362,1,9.916,23.963,5,10.432,24.624
3,9.934,34.044,5,10.030,34.270,2,9.618,33.979,1,9.965,33.927,4,9.573,34.196
3,9.396,43.440,2,9.108,43.377,5,9.558,43.537,1,9.394,43.321,4,9.282,43.478
3,9.744,53.184,4,9.997,53.374,1,9.377,52.913,2,9.650,52.970,5,10.034,53.511
3,9.386,1:02.569,4,9.316,1:02.689,2,9.627,1:02.539,1,9.374,1:02.344,5,9.312,1:02.822
2,9.221,1:11.790,4,9.437,1:12.125,3,9.328,1:11.867,1,9.145,1:11.489,5,9.554,1:12.376
2,9.596,1:21.385,3,9.390,1:21.515,5,9.887,1:21.753,1,9.761,1:21.249,4,9.229,1:21.605
1,9.74,1:31.125,5,28.92,1:50.428,4,10.33,1:32.083,2,9.90,1:31.142,3,9.63,1:31.234
