Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
2,8.18,8.18,3,8.34,8.34,1,8.02,8.02,5,8.69,8.69,4,8.48,8.48
2,10.69,18.87,3,10.66,19.00,1,10.72,18.74,5,10.50,19.19,4,10.61,19.09
2,10.01,28.88,3,9.97,28.97,1,10.06,28.80,5,9.98,29.17,4,9.96,29.05
2,10.40,39.28,3,10.40,39.37,1,10.39,39.19,5,10.42,39.59,4,10.41,39.46
2,10.52,49.80,3,10.53,49.90,1,10.50,49.69,5,10.55,50.14,4,10.55,50.01
1,9.96,59.76,3,10.04,59.94,2,10.08,59.77,5,10.02,1:00.16,4,10.04,1:00.05
1,9.84,1:09.60,2,9.75,1:09.69,4,10.11,1:09.88,5,9.83,1:09.99,3,9.79,1:09.84
1,9.96,1:19.56,2,9.94,1:19.63,5,10.06,1:19.94,4,9.82,1:19.81,3,9.86,1:19.70
1,10.17,1:29.73,2,10.16,1:29.79,5,10.25,1:30.19,4,10.23,1:30.04,3,10.21,1:29.91
1,10.39,1:40.12,2,10.41,1:40.20,5,10.35,1:40.54,4,10.37,1:40.41,3,10.40,1:40.31
2,10.12,1:50.24,1,9.98,1:50.18,5,10.23,1:50.77,4,10.10,1:50.51,3,10.06,1:50.37
2,9.76,2:00.00,1,9.74,1:59.92,5,10.11,2:00.88,4,9.70,2:00.21,3,9.72,2:00.09
4,9.90,2:09.90,1,9.62,2:09.54,5,10.65,2:11.53,3,9.62,2:09.83,2,9.53,2:09.62
4,10.33,2:20.224,1,9.36,2:18.891,5,11.04,2:22.565,3,9.35,2:19.177,2,9.38,2:18.992
