WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME,Alanna KRAUS POSITION,Alanna KRAUS LAP TIME,Alanna KRAUS ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME
5,10.414,10.414,6,10.583,10.583,4,10.242,10.242,1,10.026,10.026,3,10.137,10.137,2,10.101,10.101
5,12.874,23.288,6,12.777,23.360,3,12.896,23.138,2,13.036,23.062,1,12.810,22.946,4,13.062,23.163
5,12.938,36.226,6,13.116,36.476,4,12.964,36.101,2,12.906,35.967,1,12.937,35.883,3,12.804,35.967
5,13.591,49.816,6,13.575,50.050,3,13.569,49.669,2,13.606,49.573,1,13.484,49.367,4,13.757,49.723
6,12.206,1:02.021,1,11.697,1:01.747,5,12.334,1:02.003,3,12.357,1:01.929,2,12.540,1:01.907,4,12.211,1:01.933
2,9.800,1:11.821,1,10.063,1:11.810,5,10.103,1:12.105,4,10.118,1:12.047,3,10.104,1:12.010,6,10.223,1:12.156
1,10.257,1:22.077,2,10.422,1:22.231,5,10.283,1:22.388,4,10.224,1:22.271,3,10.254,1:22.263,6,10.365,1:22.520
1,10.062,1:32.138,2,10.048,1:32.279,6,10.231,1:32.619,4,10.140,1:32.411,3,10.049,1:32.311,5,10.032,1:32.551
1,10.209,1:42.347,3,10.343,1:42.621,4,10.178,1:42.796,6,21.348,1:53.758,2,10.166,1:42.477,5,10.284,1:42.835
1,10.418,1:52.765,2,10.325,1:52.946,4,10.407,1:53.203,6,19.687,2:13.445,3,10.485,1:52.962,5,10.393,1:53.227
1,10.217,2:02.982,2,10.080,2:03.026,5,10.104,2:03.306,6,14.143,2:27.588,3,10.084,2:03.046,4,10.013,2:03.239
1,10.024,2:13.005,2,10.013,2:13.038,4,9.988,2:13.294,6,12.569,2:40.156,3,10.057,2:13.102,5,10.222,2:13.461
2,9.673,2:22.677,1,9.265,2:22.303,4,10.035,2:23.328,6,12.246,2:52.401,3,9.713,2:22.815,5,10.250,2:23.711
2,9.73,2:32.399,1,9.57,2:31.870,4,10.24,2:33.562,6,11.84,3:04.236,3,9.67,2:32.480,5,10.75,2:34.456
