Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Munkhamidral GANBAT POSITION,Munkhamidral GANBAT LAP TIME,Munkhamidral GANBAT ELAPSED TIME
1,7.000,7.000,2,7.000,7.000,3,7.120,7.120,4,7.620,7.620
1,9.430,16.430,2,9.440,16.440,3,9.520,16.650,4,10.440,18.060
1,8.910,25.340,2,8.940,25.390,3,8.970,25.620,4,7.770,25.840
2,9.180,34.530,1,8.960,34.350,3,9.340,34.960,4,13.300,39.140
2,9.460,44.000,1,9.540,43.900,3,9.140,44.110,4,11.120,50.270
