Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,Andreas TANNER POSITION,Andreas TANNER LAP TIME,Andreas TANNER ELAPSED TIME,Ivan DOLINIC POSITION,Ivan DOLINIC LAP TIME,Ivan DOLINIC ELAPSED TIME
2,7.022,7.022,1,6.799,6.799,3,7.230,7.230,4,7.505,7.505
2,9.126,16.148,1,9.262,16.060,3,9.508,16.737,4,9.495,17.000
1,8.880,25.027,2,9.089,25.149,3,9.391,26.128,4,9.318,26.317
1,9.018,34.045,2,9.287,34.436,4,11.257,37.384,3,9.454,35.771
1,9.62,43.662,2,9.35,43.779,4,18.87,56.252,3,10.26,46.023
