Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
3,12.63,12.63,2,12.59,12.59,4,12.78,12.78,1,12.48,12.48
3,10.33,22.96,1,10.18,22.77,4,10.25,23.03,2,10.36,22.84
2,10.36,33.32,1,10.42,33.19,4,10.55,33.58,3,10.49,33.33
2,9.53,42.85,1,9.55,42.74,4,9.44,43.02,3,9.61,42.94
2,9.62,52.47,1,9.60,52.34,4,9.70,52.72,3,9.60,52.54
2,9.29,1:01.76,1,9.32,1:01.66,4,9.39,1:02.11,3,9.37,1:01.91
2,9.05,1:10.81,1,9.04,1:10.70,4,8.95,1:11.06,3,8.96,1:10.87
3,8.93,1:19.74,1,8.86,1:19.56,4,8.78,1:19.84,2,8.77,1:19.64
3,8.94,1:28.675,1,8.92,1:28.471,4,8.94,1:28.777,2,8.91,1:28.546
