SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
2,12.92,12.92,3,13.10,13.10,1,12.90,12.90,4,13.25,13.25
2,10.37,23.29,3,10.32,23.42,1,10.32,23.22,4,10.28,23.53
2,10.09,33.38,3,10.11,33.53,1,10.14,33.36,4,10.16,33.69
1,9.43,42.81,3,9.49,43.02,2,9.46,42.82,4,9.45,43.14
2,9.28,52.09,3,9.18,52.20,1,9.22,52.04,4,9.17,52.31
2,9.21,1:01.30,3,9.21,1:01.41,1,9.18,1:01.22,4,9.21,1:01.52
2,9.03,1:10.33,3,9.01,1:10.42,1,8.97,1:10.19,4,9.02,1:10.54
2,8.79,1:19.12,3,8.96,1:19.38,1,8.80,1:18.99,4,8.98,1:19.52
2,8.99,1:28.107,3,9.17,1:28.547,1,9.11,1:28.098,4,9.15,1:28.667
