Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Adam KOVACS POSITION,Adam KOVACS LAP TIME,Adam KOVACS ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME
4,13.719,13.719,2,13.300,13.300,3,13.511,13.511,1,13.232,13.232
4,10.122,23.840,2,10.279,23.579,3,10.096,23.607,1,10.087,23.318
4,9.969,33.809,1,9.697,33.276,3,9.965,33.571,2,10.006,33.324
4,9.625,43.433,2,9.991,43.267,3,9.749,43.319,1,9.681,43.004
4,9.608,53.041,3,9.448,52.714,2,9.280,52.599,1,9.572,52.576
3,9.375,1:02.415,4,9.799,1:02.512,2,9.652,1:02.251,1,9.261,1:01.837
3,9.041,1:11.456,4,8.969,1:11.481,2,9.159,1:11.409,1,9.239,1:11.075
2,8.914,1:20.370,4,11.725,1:23.206,3,9.314,1:20.723,1,9.201,1:20.275
1,9.10,1:29.470,2,6.39,1:29.589,4,9.82,1:30.537,3,9.44,1:29.716
