Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Tamas HELFRIH POSITION,Tamas HELFRIH LAP TIME,Tamas HELFRIH ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Thomas de WITTE POSITION,Thomas de WITTE LAP TIME,Thomas de WITTE ELAPSED TIME,Arjen KLAVERSMA POSITION,Arjen KLAVERSMA LAP TIME,Arjen KLAVERSMA ELAPSED TIME
1,7.074,7.074,2,7.487,7.487,6,8.717,8.717,5,8.296,8.296,3,7.596,7.596,4,7.905,7.905
1,10.156,17.229,2,10.150,17.637,6,11.123,19.840,5,9.933,18.229,3,10.235,17.830,4,9.962,17.866
1,9.947,27.176,2,9.881,27.517,6,10.773,30.612,5,9.877,28.105,3,10.087,27.917,4,10.090,27.956
1,10.104,37.279,2,10.124,37.641,6,10.720,41.332,5,10.042,38.147,3,9.750,37.666,4,9.931,37.886
1,10.420,47.698,2,10.100,47.741,6,11.012,52.344,5,10.068,48.215,3,10.151,47.817,4,10.172,48.058
1,10.188,57.885,2,10.196,57.936,6,11.014,1:03.357,5,10.142,58.357,3,10.306,58.123,4,10.215,58.272
1,10.502,1:08.387,2,10.525,1:08.460,6,11.218,1:14.575,5,10.456,1:08.813,3,10.343,1:08.466,4,10.385,1:08.656
1,10.715,1:19.101,2,10.707,1:19.167,6,11.529,1:26.104,5,10.617,1:19.429,3,10.766,1:19.232,4,10.677,1:19.333
3,10.890,1:29.991,2,10.779,1:29.946,6,11.808,1:37.911,1,10.448,1:29.877,4,10.826,1:30.058,5,10.762,1:30.094
2,10.539,1:40.530,4,11.081,1:41.026,6,12.672,1:50.583,1,10.306,1:40.183,3,10.644,1:40.701,5,10.997,1:41.090
2,9.938,1:50.467,5,11.454,1:52.480,6,12.427,2:03.010,1,10.117,1:50.299,3,10.158,1:50.859,4,10.694,1:51.783
1,10.178,2:00.644,5,12.395,2:04.874,6,11.785,2:14.795,2,10.350,2:00.649,3,10.143,2:01.001,4,10.668,2:02.451
2,10.345,2:10.989,5,13.262,2:18.135,6,12.088,2:26.882,1,10.059,2:10.707,3,10.245,2:11.246,4,10.939,2:13.389
2,10.78,2:21.762,5,13.35,2:31.485,6,11.89,2:38.766,1,10.47,2:21.168,3,10.59,2:21.835,4,11.46,2:24.846
