Adam CALLISTER POSITION,Adam CALLISTER LAP TIME,Adam CALLISTER ELAPSED TIME,Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Tjerk de BOER POSITION,Tjerk de BOER LAP TIME,Tjerk de BOER ELAPSED TIME
3,8.31,8.31,1,7.91,,6,8.77,8.77,5,8.66,8.66,4,8.50,8.50,2,8.26,8.26,7,8.89,8.89
3,10.62,18.93,1,10.81,,6,10.43,19.20,5,10.45,19.11,4,10.53,19.03,2,10.58,18.84,7,10.40,19.29
3,10.38,29.31,1,10.38,,6,10.53,29.73,5,10.48,29.59,4,10.47,29.50,2,10.36,29.20,7,10.59,29.88
3,10.21,39.52,1,10.22,,6,10.05,39.78,5,10.10,39.69,4,10.12,39.62,2,10.21,39.41,7,10.04,39.92
3,10.27,49.79,1,10.25,,6,10.26,50.04,5,10.28,49.97,4,10.28,49.90,2,10.26,49.67,7,10.23,50.15
4,10.26,1:00.05,1,10.32,,6,10.16,1:00.20,5,10.13,1:00.10,3,10.10,1:00.00,2,10.29,59.96,7,10.16,1:00.31
1,9.61,1:09.66,3,10.11,,6,10.04,1:10.24,5,10.02,1:10.12,4,10.01,1:10.01,2,9.92,1:09.88,7,10.05,1:10.36
1,9.61,1:19.27,7,10.10,,4,9.32,1:19.56,5,9.49,1:19.61,3,9.44,1:19.45,2,9.48,1:19.36,6,9.42,1:19.78
1,9.43,1:28.70,7,10.24,,4,9.36,1:28.92,5,9.40,1:29.01,3,9.35,1:28.80,2,9.42,1:28.78,6,9.36,1:29.14
1,9.03,1:37.73,7,10.54,,4,9.15,1:38.07,5,9.16,1:38.17,3,9.14,1:37.94,2,9.07,1:37.85,6,9.14,1:38.28
2,9.06,1:46.79,7,10.98,,4,8.86,1:46.93,5,8.79,1:46.96,3,8.91,1:46.85,1,8.89,1:46.74,6,8.84,1:47.12
2,9.14,1:55.93,7,11.34,,3,9.08,1:56.01,5,9.18,1:56.14,4,9.19,1:56.04,1,9.09,1:55.83,6,9.14,1:56.26
2,9.01,2:04.94,7,11.41,,3,9.04,2:05.05,5,9.26,2:05.40,4,9.30,2:05.34,1,9.02,2:04.85,6,9.20,2:05.46
3,9.52,2:14.46,7,12.59,,1,9.29,2:14.34,6,9.66,2:15.060,4,9.42,2:14.763,2,9.50,2:14.35,5,9.43,2:14.889
