CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
5,10.98,10.98,6,11.10,11.10,3,10.67,10.67,4,10.81,10.81,2,10.52,10.52,1,10.46,10.46,7,11.17,11.17
6,15.31,26.29,7,15.30,26.40,5,15.48,26.15,2,15.03,25.84,4,15.43,25.95,1,15.15,25.61,3,14.69,25.86
6,13.88,40.17,7,13.88,40.28,5,13.87,40.02,4,14.03,39.87,1,13.46,39.41,2,13.97,39.58,3,13.85,39.71
6,13.32,53.49,7,13.32,53.60,5,13.36,53.38,4,13.35,53.22,1,13.42,52.83,2,13.42,53.00,3,13.41,53.12
6,12.68,1:06.17,7,12.67,1:06.27,4,12.46,1:05.84,1,12.21,1:05.43,2,12.71,1:05.54,3,12.74,1:05.74,5,12.73,1:05.85
2,10.61,1:16.78,3,10.54,1:16.81,7,11.23,1:17.07,4,11.40,1:16.83,5,11.43,1:16.97,1,10.92,1:16.66,6,11.20,1:17.05
3,10.04,1:26.82,2,9.85,1:26.66,7,10.22,1:27.29,4,10.11,1:26.94,5,10.03,1:27.00,1,9.95,1:26.61,6,10.11,1:27.16
4,10.16,1:36.98,3,10.18,1:36.84,7,10.02,1:37.31,1,9.76,1:36.70,5,10.07,1:37.07,2,10.14,1:36.75,6,10.01,1:37.17
4,9.63,1:46.61,3,9.68,1:46.52,7,9.71,1:47.02,1,9.60,1:46.30,5,9.62,1:46.69,2,9.64,1:46.39,6,9.68,1:46.85
4,9.87,1:56.48,3,9.86,1:56.38,7,9.69,1:56.71,1,9.87,1:56.17,5,9.84,1:56.53,2,9.89,1:56.28,6,9.71,1:56.56
4,9.43,2:05.91,2,9.43,2:05.81,7,9.70,2:06.41,1,9.61,2:05.78,5,9.41,2:05.94,3,9.59,2:05.87,6,9.61,2:06.17
3,9.39,2:15.30,1,9.39,2:15.20,7,9.70,2:16.11,2,9.49,2:15.27,5,9.50,2:15.44,4,9.47,2:15.34,6,9.41,2:15.58
7,50.15,3:05.45,1,9.35,2:24.55,5,9.96,2:26.07,6,35.57,2:50.84,2,9.27,2:24.71,3,9.52,2:24.86,4,9.79,2:25.37
7,18.35,3:23.797,1,9.58,2:34.126,5,10.14,2:36.210,6,22.39,3:13.228,2,9.55,2:34.261,3,9.73,2:34.586,4,10.26,2:35.629
