Paulius GLUSINAS POSITION,Paulius GLUSINAS LAP TIME,Paulius GLUSINAS ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,JANG Won-Hoon POSITION,JANG Won-Hoon LAP TIME,JANG Won-Hoon ELAPSED TIME
0,9.930,9.930,0,9.975,9.975,0,9.626,9.626,0,9.691,9.691,0,10.077,10.077,0,9.519,9.519
0,14.155,24.085,0,14.021,23.995,0,14.410,24.036,0,14.155,23.846,0,13.438,23.515,0,14.526,24.045
0,11.123,35.208,0,10.856,34.851,0,11.059,35.094,0,11.074,34.920,0,11.618,35.133,0,10.217,34.262
0,10.724,45.932,0,10.553,45.405,0,10.816,45.910,0,10.541,45.461,0,10.181,45.314,0,11.121,45.382
0,10.387,56.319,0,10.499,55.904,0,10.263,56.173,0,9.959,55.420,0,10.415,55.729,0,10.452,55.834
0,10.150,1:06.469,0,10.146,1:06.049,0,9.863,1:06.037,0,10.194,1:05.614,0,10.110,1:05.838,0,9.849,1:05.683
0,10.306,1:16.775,0,10.550,1:16.599,0,10.587,1:16.624,0,10.510,1:16.125,0,10.551,1:16.389,0,10.477,1:16.160
0,10.468,1:27.243,0,9.826,1:26.425,0,9.853,1:26.478,0,9.947,1:26.071,0,9.833,1:26.222,0,10.149,1:26.309
0,10.809,1:38.052,0,9.787,1:36.213,0,9.719,1:36.196,0,9.761,1:35.832,0,10.026,1:36.248,0,9.828,1:36.137
0,11.297,1:49.350,0,9.842,1:46.055,0,10.073,1:46.270,0,9.993,1:45.825,0,9.557,1:45.805,0,9.644,1:45.781
0,11.382,2:00.732,0,9.860,1:55.915,0,9.539,1:55.809,0,9.957,1:55.782,0,9.773,1:55.578,0,9.620,1:55.402
0,12.068,2:12.800,0,9.223,2:05.138,0,10.368,2:06.177,0,10.141,2:05.923,0,9.982,2:05.560,0,9.546,2:04.947
0,12.338,2:25.138,0,9.982,2:15.120,0,10.011,2:16.187,0,10.531,2:16.453,0,10.981,2:16.541,0,9.559,2:14.507
0,,,0,,,0,,,0,,,0,,,0,,
