J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
1,12.35,12.35,2,12.42,12.42,3,12.48,12.48,4,12.60,12.60,5,12.81,12.81
2,9.46,21.81,1,9.25,21.67,4,9.55,22.03,3,9.30,21.90,5,9.34,22.15
2,9.42,31.23,1,9.46,31.13,4,9.39,31.42,3,9.40,31.30,5,9.36,31.51
2,9.50,40.73,1,9.51,40.64,4,9.51,40.93,3,9.50,40.80,5,9.57,41.08
2,9.44,50.17,1,9.45,50.09,4,9.45,50.38,3,9.51,50.31,5,9.33,50.41
2,9.39,59.56,1,9.38,59.47,5,9.49,59.87,3,9.32,59.63,4,9.35,59.76
2,9.23,1:08.79,1,9.25,1:08.72,5,9.22,1:09.09,3,9.24,1:08.87,4,9.23,1:08.99
1,8.99,1:17.78,2,9.19,1:17.91,5,9.18,1:18.27,3,9.13,1:18.00,4,9.13,1:18.12
1,9.09,1:26.87,2,9.09,1:27.00,5,9.37,1:27.621,4,,1:27.145,0,,PHOTO
