Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME
3,10.28,10.28,6,10.75,10.75,4,10.44,10.44,1,10.14,10.14,2,10.17,10.17,5,10.63,10.63
3,14.75,25.03,6,14.84,25.59,4,14.74,25.18,2,14.75,24.89,1,14.62,24.79,5,14.79,25.42
3,13.81,38.84,6,13.76,39.35,4,13.83,39.01,2,13.79,38.68,1,13.77,38.56,5,13.81,39.23
4,12.51,51.35,3,11.95,51.30,5,12.43,51.44,2,12.60,51.28,1,12.64,51.20,6,12.40,51.63
3,10.92,1:02.27,1,10.78,1:02.08,5,10.92,1:02.36,4,10.99,1:02.27,2,10.98,1:02.18,6,11.00,1:02.63
2,10.03,1:12.30,1,10.13,1:12.21,5,10.23,1:12.59,3,10.21,1:12.48,6,10.60,1:12.78,4,9.95,1:12.58
4,9.30,1:21.60,2,9.21,1:21.42,5,9.23,1:21.82,1,8.92,1:21.40,6,9.31,1:22.09,3,8.99,1:21.57
4,9.00,1:30.60,1,8.88,1:30.30,5,8.88,1:30.70,3,9.13,1:30.53,6,8.81,1:30.90,2,8.84,1:30.41
4,9.17,1:39.77,1,9.14,1:39.44,5,9.19,1:39.89,3,9.13,1:39.66,6,9.11,1:40.01,2,9.14,1:39.55
5,9.17,1:48.94,1,9.17,1:48.61,4,9.01,1:48.90,3,9.17,1:48.83,6,9.06,1:49.07,2,9.20,1:48.75
6,9.42,1:58.36,1,9.17,1:57.78,4,9.17,1:58.07,3,9.12,1:57.95,5,9.13,1:58.20,2,9.06,1:57.81
6,8.85,2:07.21,2,9.07,2:06.85,4,8.91,2:06.98,3,8.94,2:06.89,5,8.91,2:07.11,1,8.90,2:06.71
6,8.85,2:16.06,4,9.04,2:15.89,5,9.04,2:16.02,2,8.88,2:15.77,3,8.78,2:15.89,1,8.91,2:15.62
0,,PEN,5,9.50,2:25.388,4,9.08,2:25.101,2,9.09,2:24.855,3,9.06,2:24.945,1,9.16,2:24.776
