Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME
3,14.276,14.276,4,14.495,14.495,2,14.102,14.102,1,13.969,13.969
3,11.051,25.326,4,10.901,25.396,2,11.048,25.150,1,11.125,25.094
4,11.246,36.572,3,11.175,36.571,2,11.327,36.477,1,11.328,36.421
3,10.058,46.631,1,9.948,46.518,2,10.090,46.567,4,10.295,46.716
3,9.800,56.431,1,9.789,56.307,2,9.767,56.333,4,9.837,56.553
2,9.528,1:05.959,1,9.606,1:05.913,3,9.760,1:06.093,4,9.715,1:06.268
2,9.716,1:15.675,1,9.642,1:15.555,3,9.693,1:15.786,4,9.980,1:16.248
2,9.899,1:25.573,1,9.901,1:25.456,3,10.091,1:25.877,4,9.939,1:26.187
2,9.949,1:35.522,1,9.988,1:35.445,4,10.589,1:36.466,3,10.173,1:36.359
