Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME
2,6.95,6.95,5,7.35,7.35,1,6.72,6.72,3,7.05,7.05,4,7.14,7.14
3,9.03,15.98,5,9.53,16.88,1,8.97,15.69,4,9.14,16.19,2,8.80,15.94
3,8.69,24.67,5,9.04,25.92,1,8.59,24.28,4,8.67,24.86,2,8.43,24.37
3,8.74,33.41,5,9.19,35.11,2,8.72,33.00,4,8.87,33.73,1,8.51,32.88
3,9.13,42.54,5,9.46,44.57,2,8.72,41.72,4,9.20,42.93,1,8.76,41.64
