DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,PIERRE-GILLES Jordan POSITION,PIERRE-GILLES Jordan LAP TIME,PIERRE-GILLES Jordan ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME
1,6.90,6.90,2,7.01,7.01,3,7.12,7.12,4,7.16,7.16,5,7.29,7.29
1,9.06,15.96,2,8.97,15.98,3,9.10,16.22,4,9.18,16.34,5,9.18,16.47
3,8.62,24.58,1,8.41,24.39,2,8.32,24.54,4,8.37,24.71,5,8.47,24.94
5,9.12,33.70,1,8.36,32.75,2,8.52,33.06,3,8.48,33.19,4,8.62,33.56
5,9.13,42.838,1,8.56,41.31,2,8.82,41.88,3,8.84,42.038,4,9.04,42.609
