PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
3,13.02,13.02,4,13.04,13.04,1,12.79,12.79,2,12.90,12.90
4,10.36,23.38,3,10.20,23.24,1,10.15,22.94,2,10.14,23.04
4,9.88,33.26,3,9.88,33.12,1,9.99,32.93,2,9.98,33.02
4,9.72,42.98,3,9.84,42.96,1,9.81,42.74,2,9.84,42.86
2,9.35,52.33,3,9.54,52.50,1,9.50,52.24,4,17.61,1:00.47
2,9.71,1:02.04,3,9.64,1:02.14,1,9.70,1:01.94,4,23.10,1:23.57
2,9.82,1:11.86,3,9.85,1:11.99,1,9.81,1:11.75,4,15.33,1:38.90
2,9.87,1:21.73,3,9.87,1:21.86,1,9.89,1:21.64,4,13.19,1:52.09
2,10.07,1:31.796,0,,PEN,1,10.08,1:31.717,3,12.50,2:04.586
