Renata SZOCS POSITION,Renata SZOCS LAP TIME,Renata SZOCS ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
2,8.62,8.62,4,8.79,8.79,3,8.63,8.63,5,8.97,8.97,1,8.52,8.52,6,9.13,9.13
4,11.32,19.94,3,11.08,19.87,2,11.14,19.77,5,11.08,20.05,1,11.16,19.68,6,11.02,20.15
4,10.96,30.90,3,10.95,30.82,2,10.95,30.72,5,10.96,31.01,1,10.95,30.63,6,10.96,31.11
4,11.16,42.06,3,11.16,41.98,2,11.17,41.89,5,11.08,42.09,1,11.17,41.80,6,11.12,42.23
4,11.87,53.93,3,11.86,53.84,1,11.71,53.60,5,11.98,54.07,2,11.93,53.73,6,11.91,54.14
4,12.00,1:05.93,3,12.00,1:05.84,1,11.98,1:05.58,5,11.96,1:06.03,2,11.98,1:05.71,6,11.98,1:06.12
4,11.93,1:17.86,3,11.87,1:17.71,1,11.89,1:17.47,5,11.86,1:17.89,2,11.84,1:17.55,6,11.97,1:18.09
6,11.31,1:29.17,3,11.04,1:28.75,1,11.06,1:28.53,4,10.99,1:28.88,2,11.09,1:28.64,5,10.92,1:29.01
6,10.69,1:39.86,3,10.86,1:39.61,1,10.87,1:39.40,4,10.83,1:39.71,2,10.88,1:39.52,5,10.77,1:39.78
6,11.16,1:51.02,2,10.83,1:50.44,1,10.93,1:50.33,4,10.94,1:50.65,3,10.96,1:50.48,5,11.00,1:50.78
6,10.80,2:01.82,1,9.76,2:00.20,2,9.89,2:00.22,4,10.28,2:00.93,3,10.07,2:00.55,5,10.29,2:01.07
6,11.05,2:12.87,1,9.54,2:09.74,2,9.63,2:09.85,4,10.29,2:11.22,3,10.14,2:10.69,5,10.25,2:11.32
4,11.68,2:24.55,1,9.56,2:19.30,2,9.59,2:19.44,5,20.68,2:31.90,3,10.57,2:21.26,6,24.48,2:35.80
4,12.34,2:36.886,1,9.58,2:28.874,2,9.61,2:29.051,5,21.87,2:53.766,3,10.91,2:32.170,0,,PEN
