Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME
3,13.16,13.16,2,13.01,13.01,5,13.31,13.31,4,13.20,13.20,1,12.93,12.93
3,10.19,23.35,2,10.18,23.19,5,10.30,23.61,4,10.24,23.44,1,10.17,23.10
3,9.92,33.27,2,9.91,33.10,5,9.89,33.50,4,9.95,33.39,1,9.91,33.01
3,9.51,42.78,2,9.57,42.67,5,9.49,42.99,4,9.40,42.79,1,9.59,42.60
4,9.61,52.39,1,9.35,52.02,5,9.50,52.49,3,9.38,52.17,2,9.44,52.04
4,9.25,1:01.64,1,9.11,1:01.13,5,9.42,1:01.91,2,8.97,1:01.14,3,9.27,1:01.31
4,9.48,1:11.12,2,9.12,1:10.25,5,9.77,1:11.68,1,9.01,1:10.15,3,9.02,1:10.33
4,10.02,1:21.14,3,9.26,1:19.51,5,10.13,1:21.81,1,9.14,1:19.29,2,9.04,1:19.37
4,10.43,1:31.57,3,9.27,1:28.78,5,10.32,1:32.13,1,9.25,1:28.54,2,9.24,1:28.61
