Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
1,6.71,6.71,2,6.86,6.86,4,7.20,7.20,3,7.11,7.11
2,9.09,15.80,1,8.92,15.79,4,8.98,16.19,3,8.97,16.09
1,8.35,24.16,2,8.60,24.40,3,8.58,24.77,4,8.83,24.93
2,8.93,33.09,1,8.68,33.08,3,8.68,33.45,4,23.94,48.87
1,8.98,42.067,2,9.08,42.152,3,9.25,42.692,4,14.56,1:03.425
