LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
5,14.17,14.17,2,13.93,13.93,4,14.05,14.05,1,13.86,13.86,3,13.94,13.94
5,10.08,24.25,2,10.09,24.02,4,10.11,24.16,3,10.18,24.04,1,10.01,23.95
5,9.83,34.08,1,9.70,33.72,4,9.81,33.97,3,9.85,33.89,2,9.86,33.81
5,9.90,43.98,2,10.01,43.73,3,9.84,43.81,3,9.92,43.81,1,9.85,43.66
5,9.91,53.89,2,9.83,53.56,3,9.83,53.64,4,10.00,53.81,1,9.80,53.46
5,9.39,1:03.28,2,9.44,1:03.00,3,9.44,1:03.08,4,9.39,1:03.20,1,9.45,1:02.91
5,9.27,1:12.55,3,9.37,1:12.37,2,9.23,1:12.31,4,9.25,1:12.45,1,9.14,1:12.05
3,9.23,1:21.78,5,9.76,1:22.13,2,9.15,1:21.46,4,9.65,1:22.10,1,9.21,1:21.26
3,9.52,1:31.288,5,10.49,1:32.594,1,9.22,1:30.68,4,9.79,1:31.874,2,9.47,1:30.73
