SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
1,9.16,9.16,5,9.46,9.46,4,9.43,,3,9.31,9.31,6,9.56,,2,9.24,9.24
1,12.84,22.00,6,13.08,22.54,4,12.76,,3,12.87,22.18,5,12.86,,2,12.86,22.10
1,12.18,34.18,6,12.36,34.90,3,12.25,,4,12.37,34.55,5,12.32,,2,12.20,34.30
1,12.16,46.34,6,11.93,46.83,3,12.15,,4,12.16,46.71,5,11.99,,2,12.14,46.44
2,11.51,57.85,6,11.41,58.24,5,11.64,,4,11.40,58.11,1,11.03,,3,11.55,57.99
2,11.05,1:08.90,6,11.19,1:09.43,5,11.04,,4,11.02,1:09.13,1,11.03,,3,11.03,1:09.02
2,11.24,1:20.14,4,10.91,1:20.34,3,10.95,,1,10.91,1:20.04,6,28.91,,5,21.04,1:30.06
1,10.91,1:31.05,4,11.01,1:31.35,3,10.94,,2,11.08,1:31.12,6,17.04,,5,16.57,1:46.63
1,10.92,1:41.97,4,11.01,1:42.36,2,10.94,,3,11.08,1:42.20,6,11.96,,5,12.46,1:59.09
1,10.63,1:52.60,4,10.60,1:52.96,2,10.61,,3,10.60,1:52.80,6,10.55,,5,11.50,2:10.59
1,10.23,2:02.83,4,10.08,2:03.04,2,10.21,,2,10.12,2:02.92,6,10.32,,5,13.42,2:24.01
1,9.99,2:12.82,3,9.98,2:13.02,2,10.09,,4,10.12,2:13.04,6,10.43,,5,11.73,2:35.74
1,9.88,2:22.70,2,9.79,2:22.81,4,10.03,,3,9.87,2:22.91,6,12.81,,5,11.80,2:47.54
1,10.09,2:32.79,2,10.01,2:32.82,4,9.99,,3,9.99,2:32.90,6,16.44,,5,12.52,3:00.06
