Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME
1,6.566,6.566,3,6.843,6.843,2,6.817,6.817,4,6.900,6.900
1,9.195,15.761,2,9.026,15.869,4,9.303,16.120,3,9.038,15.938
2,8.707,24.468,1,8.551,24.420,4,8.639,24.758,3,8.655,24.593
3,8.939,33.407,1,8.760,33.180,4,9.408,34.166,2,8.712,33.305
3,9.183,42.589,1,8.764,41.944,4,9.619,43.785,2,8.814,42.119
