Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
2,13.11,13.11,3,13.14,13.14,1,12.88,12.88,4,13.38,13.38
2,9.97,23.08,3,10.09,23.23,1,10.02,22.90,4,9.98,23.36
2,10.29,33.38,3,10.28,33.52,1,10.21,33.11,4,10.32,33.68
3,9.92,43.31,2,9.77,43.29,1,9.99,43.10,4,9.92,43.60
3,9.93,53.24,2,9.89,53.18,1,9.92,53.03,4,9.85,53.45
3,9.86,1:03.10,2,9.83,1:03.02,1,9.88,1:02.91,4,9.90,1:03.36
2,9.67,1:12.78,3,9.98,1:13.00,1,9.72,1:12.64,4,9.69,1:13.05
2,9.85,1:22.63,4,9.97,1:22.98,1,9.69,1:22.34,3,9.72,1:22.78
2,10.11,1:32.736,4,10.77,1:33.747,1,10.30,1:32.632,3,10.03,1:32.803
