MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Danylo FEDORENKO POSITION,Danylo FEDORENKO LAP TIME,Danylo FEDORENKO ELAPSED TIME,Julian MACARAEG POSITION,Julian MACARAEG LAP TIME,Julian MACARAEG ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME
1,6.85,6.85,5,7.52,7.52,3,7.19,7.19,2,6.96,6.96,4,7.46,7.46
2,9.11,15.96,5,9.42,16.94,4,9.36,16.55,1,8.87,15.83,3,8.74,16.20
2,8.63,24.59,5,8.98,25.92,4,8.95,25.50,1,8.56,24.39,3,8.48,24.68
3,8.75,33.34,5,9.08,35.00,4,9.07,34.57,1,8.64,33.03,2,8.47,33.15
3,8.85,42.19,5,9.25,44.25,4,9.43,44.00,0,8.69,41.72,0,8.58,41.73
