LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
1,13.08,13.08,3,13.20,13.20,4,13.31,13.31,2,13.09,13.09
2,9.91,22.99,3,9.92,23.12,4,9.92,23.23,1,9.75,22.84
2,9.85,32.84,3,9.79,32.91,4,9.80,33.03,1,9.86,32.70
2,9.47,42.31,3,9.54,42.45,4,9.51,42.54,1,9.46,42.16
2,9.41,51.72,3,9.43,51.88,4,9.44,51.98,1,9.45,51.61
3,9.69,1:01.41,1,9.39,1:01.27,4,9.48,1:01.46,2,9.70,1:01.31
3,9.51,1:10.92,1,9.05,1:10.32,2,9.23,1:10.69,4,9.77,1:11.08
3,9.66,1:20.58,1,9.16,1:19.48,2,9.21,1:19.90,4,9.67,1:20.75
3,9.94,1:30.520,1,9.40,1:28.876,2,9.58,1:29.479,4,9.88,1:30.621
