J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
4,12.39,12.39,5,12.49,12.49,3,12.22,12.22,6,12.60,12.60,1,12.13,,2,12.18,12.18
4,9.23,21.62,5,9.21,21.70,3,9.28,21.50,6,9.19,21.79,2,9.28,,1,9.14,21.32
4,9.27,30.89,5,9.33,31.03,3,9.37,30.87,6,9.35,31.14,2,9.36,,1,9.37,30.69
4,9.26,40.15,5,9.14,40.17,2,9.16,40.03,6,9.08,40.22,3,9.30,,1,9.30,39.99
6,35.37,1:15.52,3,9.23,49.40,1,9.14,49.17,2,9.06,49.28,4,10.56,,5,32.38,1:12.37
6,15.28,1:30.80,3,9.10,58.50,1,9.08,58.25,2,9.08,58.36,4,9.44,,5,15.83,1:28.20
6,11.20,1:42.00,3,9.10,1:07.60,1,9.16,1:07.41,2,9.13,1:07.49,4,9.33,,5,13.52,1:41.72
5,10.49,1:52.49,3,9.26,1:16.86,2,9.25,1:16.66,1,9.13,1:16.62,4,9.59,,6,12.48,1:54.20
4,9.82,2:02.293,2,8.90,1:25.752,3,9.35,1:25.994,1,9.04,1:25.647,4,9.92,,5,11.33,2:05.508
