LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
4,9.145,9.145,3,9.111,9.111,2,8.805,8.805,1,8.783,8.783,6,9.501,9.501,5,9.447,9.447
4,11.790,20.935,3,11.720,20.830,1,11.922,20.726,2,11.947,20.729,6,11.713,21.213,5,11.580,21.026
4,11.434,32.368,3,11.340,32.170,2,11.435,32.160,1,11.430,32.159,6,11.368,32.580,5,11.404,32.430
4,11.191,43.559,2,11.202,43.372,1,10.863,43.023,3,11.228,43.386,5,11.092,43.672,6,11.342,43.772
4,10.903,54.461,5,11.131,54.502,1,11.182,54.204,2,11.032,54.418,6,10.851,54.522,3,10.673,54.444
2,10.312,1:04.772,1,10.267,1:04.768,4,10.869,1:05.073,3,10.552,1:04.969,5,10.778,1:05.300,6,10.858,1:05.302
1,10.045,1:14.817,2,10.331,1:15.099,4,10.184,1:15.256,3,10.261,1:15.230,5,10.093,1:15.393,6,10.146,1:15.447
3,10.414,1:25.231,2,10.125,1:25.223,5,10.340,1:25.596,4,10.097,1:25.327,1,9.726,1:25.119,6,10.290,1:25.736
3,10.124,1:35.354,2,10.095,1:35.318,4,9.917,1:35.513,5,10.296,1:35.622,1,9.861,1:34.980,6,9.981,1:35.717
3,9.764,1:45.118,1,9.369,1:44.686,5,9.926,1:45.439,4,9.766,1:45.387,2,9.827,1:44.807,6,9.746,1:45.462
3,9.782,1:54.899,2,9.883,1:54.568,5,9.652,1:55.090,4,9.642,1:55.029,1,9.655,1:54.462,6,9.782,1:55.244
2,9.314,2:04.212,1,9.609,2:04.177,4,9.783,2:04.873,5,9.895,2:04.923,3,9.774,2:04.236,6,9.936,2:05.179
2,9.558,2:13.770,1,9.494,2:13.671,4,10.011,2:14.883,5,10.070,2:14.993,3,9.706,2:13.941,6,9.993,2:15.172
2,9.94,2:23.704,1,9.98,2:23.645,5,10.59,2:25.472,4,10.33,2:25.322,3,10.27,2:24.205,6,10.77,2:25.935
