Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
1,6.81,6.81,2,7.04,7.04,3,7.18,7.18,4,7.27,7.27
1,8.87,15.68,2,8.75,15.79,3,8.77,15.95,4,8.83,16.10
1,8.36,24.04,2,8.35,24.14,3,8.27,24.22,4,8.34,24.44
1,8.52,32.56,2,8.45,32.59,3,8.52,32.74,4,8.44,32.88
3,8.89,41.45,1,8.65,41.24,2,8.61,41.35,4,8.62,41.50
